# NFAP Frequency Allocation Data
# Source: Indian Frequency Allocation Chart
# Country: India
# Last Updated: 2025-01-01
""
Band Name,Band Start Freq (Hz),Band End Freq (Hz),Allocation Start Freq (Hz),Allocation End Freq (Hz),Frequency Range (Readable),Service,Priority,Usage,Amateur Band,Level,Region Specific
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,,secondary,,,Space Research,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,,secondary,,,Space Research,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,,secondary,,,Space Research,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,,secondary,,,Space Research,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,AERONAUTICAL MOBILE,secondary,Aircraft communication,,Space Research,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,FIXED,primary,Point-to-point communication,,Space Research,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,FIXED,primary,Point-to-point communication,,Space Research,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,FIXED,primary,Point-to-point communication,,Space Research,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,MOBILE,primary,Mobile communication services,,Space Research,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,MOBILE,primary,Mobile communication services,,Space Research,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,MOBILE,primary,Mobile communication services,,Space Research,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,SPACE RESEARCH,secondary,Space Research,,Radiolocation,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,SPACE RESEARCH,secondary,Space Research,,Radiolocation,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,SPACE RESEARCH,secondary,Space Research,,Radiolocation,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,AMATEUR,primary,Amateur radio services,,Radiolocation,
VHF - Very High Frequency (137-146 MHz),137825000,146000000,137825000,146000000,137.825 MHz - 146.000 MHz,AMATEUR,primary,Amateur radio services,,Radiolocation,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,AMATEUR,primary,Amateur radio services,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,AMATEUR,primary,Amateur radio services,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE EXCEPT AERONAUTICAL,primary,Aircraft communication,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE,primary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE,secondary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE,primary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,AMATEUR,primary,Amateur radio services,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE EXCEPT AERONAUTICAL,primary,Aircraft communication,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE,primary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE,primary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE,secondary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE-SATELLITE,secondary,Mobile satellite services,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE-SATELLITE,secondary,Mobile satellite services,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE-SATELLITE,primary,Mobile satellite services,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,,secondary,,,ALLOCATIONS,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE-SATELLITE 5.220,secondary,Mobile satellite services,,5.218   5.218A 5.219   5.221,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE-SATELLITE 5.220,secondary,Mobile satellite services,,5.218   5.218A 5.219   5.221,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,FIXED,primary,Point-to-point communication,,5.218   5.218A 5.219   5.221,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,FIXED,primary,Point-to-point communication,,5.218   5.218A 5.219   5.221,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,FIXED,primary,Point-to-point communication,,5.218   5.218A 5.219   5.221,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE EXCEPT AERONAUTICAL,primary,Aircraft communication,,5.218   5.218A 5.219   5.221,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE,primary,Mobile communication services,,5.218   5.218A 5.219   5.221,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE,primary,Mobile communication services,,5.218   5.218A 5.219   5.221,
VHF - Very High Frequency (146-154 MHz),146000000,154000000,146000000,154000000,146.000 MHz - 154.000 MHz,MOBILE,secondary,Mobile communication services,,5.218   5.218A 5.219   5.221,
VHF - Very High Frequency (154-156 MHz),154000000,156837500,154000000,156837500,154.000 MHz - 156.838 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (154-156 MHz),154000000,156837500,154000000,156837500,154.000 MHz - 156.838 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (154-156 MHz),154000000,156837500,154000000,156837500,154.000 MHz - 156.838 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (154-156 MHz),154000000,156837500,154000000,156837500,154.000 MHz - 156.838 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (154-156 MHz),154000000,156837500,154000000,156837500,154.000 MHz - 156.838 MHz,MOBILE EXCEPT AERONAUTICAL,primary,Aircraft communication,,ALLOCATIONS,
VHF - Very High Frequency (154-156 MHz),154000000,156837500,154000000,156837500,154.000 MHz - 156.838 MHz,MOBILE,primary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (154-156 MHz),154000000,156837500,154000000,156837500,154.000 MHz - 156.838 MHz,MOBILE,primary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (154-156 MHz),154000000,156837500,154000000,156837500,154.000 MHz - 156.838 MHz,MOBILE,primary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (154-156 MHz),154000000,156837500,154000000,156837500,154.000 MHz - 156.838 MHz,MOBILE,secondary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE EXCEPT AERONAUTICAL,primary,Aircraft communication,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE,primary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE,primary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE,secondary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE EXCEPT AERONAUTICAL,primary,Aircraft communication,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE,primary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE,primary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE,secondary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MARITIME MOBILE-SATELLITE 5.208B 5.228AC,primary,Marine communication,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MARITIME MOBILE-SATELLITE 5.208B,primary,Marine communication,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MARITIME MOBILE-SATELLITE,primary,Marine communication,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,5.228AC,primary,5.228Ac,,ALLOCATIONS,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE EXCEPT AERONAUTICAL,primary,Aircraft communication,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE,primary,Mobile communication services,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE,primary,Mobile communication services,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE,secondary,Mobile communication services,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE EXCEPT AERONAUTICAL,primary,Aircraft communication,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE,primary,Mobile communication services,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE,primary,Mobile communication services,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MOBILE,secondary,Mobile communication services,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MARITIME MOBILE-SATELLITE 5.208B 5.228AC,primary,Marine communication,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MARITIME MOBILE-SATELLITE 5.208B,primary,Marine communication,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,MARITIME MOBILE-SATELLITE,primary,Marine communication,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (156-162 MHz),156837500,162012500,156837500,162012500,156.838 MHz - 162.012 MHz,5.228AC,primary,5.228Ac,,5.208B   5.228Ab   5.228Ac,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MOBILE EXCEPT AERONAUTICAL,primary,Aircraft communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MOBILE,primary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MOBILE,primary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MOBILE,secondary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MARITIME MOBILE-SATELLITE,secondary,Marine communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MARITIME MOBILE-SATELLITE,secondary,Marine communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MARITIME MOBILE-SATELLITE (EARTH-TO,secondary,Marine communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,SPACE),primary,Space),,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,AERONAUTICAL MOBILE,secondary,Aircraft communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MOBILE EXCEPT AERONAUTICAL,primary,Aircraft communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,AERONAUTICAL MOBILE,secondary,Aircraft communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,AERONAUTICAL MOBILE,secondary,Aircraft communication,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MOBILE,secondary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MOBILE-SATELITE (EARTH-TO-,secondary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MOBILE-SATELLITE,secondary,Mobile satellite services,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MOBILE-SATELLITE,secondary,Mobile satellite services,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,MOBILE-SATELLITE,secondary,Mobile satellite services,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,SPACE),secondary,Space),,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,5.228F,primary,5.228F,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,5.228F,primary,5.228F,,ALLOCATIONS,
VHF - Very High Frequency (161-162 MHz),161937500,162012500,161937500,162012500,161.938 MHz - 162.012 MHz,5.228F,primary,5.228F,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,AERONAUTICAL MOBILE,secondary,Aircraft communication,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MOBILE EXCEPT AERONAUTICAL,primary,Aircraft communication,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,AERONAUTICAL MOBILE,secondary,Aircraft communication,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,AERONAUTICAL MOBILE,secondary,Aircraft communication,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MOBILE,secondary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MOBILE-SATELITE (EARTH-TO-,secondary,Mobile communication services,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MOBILE-SATELLITE,secondary,Mobile satellite services,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MOBILE-SATELLITE,secondary,Mobile satellite services,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MOBILE-SATELLITE,secondary,Mobile satellite services,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,SPACE),secondary,Space),,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,5.228F,primary,5.228F,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,5.228F,primary,5.228F,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,5.228F,primary,5.228F,,ALLOCATIONS,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,FIXED,primary,Point-to-point communication,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,FIXED,primary,Point-to-point communication,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,FIXED,primary,Point-to-point communication,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MOBILE EXCEPT AERONAUTICAL,primary,Aircraft communication,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MOBILE,primary,Mobile communication services,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MOBILE,primary,Mobile communication services,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MOBILE,secondary,Mobile communication services,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,BROADCASTING,primary,Broadcasting services,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,BROADCASTING,primary,Broadcasting services,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,FIXED,primary,Point-to-point communication,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,FIXED,primary,Point-to-point communication,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,FIXED,primary,Point-to-point communication,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MOBILE,primary,Mobile communication services,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MOBILE,primary,Mobile communication services,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MOBILE,primary,Mobile communication services,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,BROADCASTING,primary,Broadcasting services,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,BROADCASTING,primary,Broadcasting services,,5.228C   5.228D,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,FIXED,primary,Point-to-point communication,,5.238   5.240   Ind 20,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,MOBILE,primary,Mobile communication services,,5.238   5.240   Ind 20,
VHF - Very High Frequency (162-223 MHz),162012500,223000000,162012500,223000000,162.012 MHz - 223.000 MHz,BROADCASTING,primary,Broadcasting services,,5.238   5.240   Ind 20,
VHF - Very High Frequency (216-267 MHz),216000000,267000000,216000000,267000000,216.000 MHz - 267.000 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (216-267 MHz),216000000,267000000,216000000,267000000,216.000 MHz - 267.000 MHz,FIXED,primary,Point-to-point communication,,ALLOCATIONS,
VHF - Very High Frequency (216-267 MHz),216000000,267000000,216000000,267000000,216.000 MHz - 267.000 MHz,MARITIME MOBILE,primary,Marine communication,,ALLOCATIONS,
VHF - Very High Frequency (216-267 MHz),216000000,267000000,216000000,267000000,216.000 MHz - 267.000 MHz,MOBILE,primary,Mobile communication services,,ALLOCATIONS,
